               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06849,            0.045645,            0.038458,             0.73487,              0.4645,             0.49133,             0.27895,            0.039803,            0.019228,            0.012915,            0.070013,           0.0033319,           0.0033319
                   1,            0.052483,             0.03542,            0.012468,             0.80208,              0.5583,             0.58624,             0.34829,            0.035589,            0.017862,           0.0073906,            0.039749,           0.0064013,           0.0064013
                   2,            0.048558,            0.035106,           0.0094929,              0.7826,             0.54004,              0.5694,             0.34731,            0.034412,            0.018776,           0.0073874,           0.0092214,           0.0092066,           0.0092066
                   3,            0.045985,            0.035029,           0.0083406,             0.82817,             0.55818,             0.60494,             0.37943,            0.032249,            0.018136,           0.0060607,            0.008812,            0.008812,            0.008812
                   4,            0.044225,            0.034481,           0.0072568,             0.84538,             0.58186,             0.62053,             0.40009,            0.030617,            0.017557,           0.0047697,            0.008812,            0.008812,            0.008812
                   5,            0.042046,            0.032756,           0.0064541,             0.82075,             0.58901,             0.62297,             0.40768,            0.029744,            0.017669,           0.0046159,            0.008416,            0.008416,            0.008416
                   6,            0.039967,            0.031924,           0.0057692,             0.83611,             0.60761,             0.64579,             0.43456,            0.028656,            0.017068,           0.0039642,             0.00802,             0.00802,             0.00802
                   7,            0.039096,               0.032,           0.0051888,             0.84419,             0.61564,             0.65228,             0.44713,             0.02796,             0.01669,           0.0033812,            0.007624,            0.007624,            0.007624
                   8,            0.037851,            0.031223,           0.0045278,             0.83715,             0.63686,             0.66685,             0.46301,            0.027022,            0.016337,           0.0029047,            0.007228,            0.007228,            0.007228
                   9,            0.036912,            0.030593,           0.0041486,             0.84143,             0.64249,             0.67615,             0.47602,            0.026588,             0.01625,           0.0027366,            0.006832,            0.006832,            0.006832
                  10,            0.036402,              0.0304,           0.0041185,             0.84172,             0.63848,             0.67798,             0.47843,            0.026138,            0.016046,            0.002548,            0.006436,            0.006436,            0.006436
                  11,            0.034925,            0.029159,           0.0035411,             0.84195,             0.66475,              0.6925,              0.4966,            0.025547,            0.015862,           0.0023605,             0.00604,             0.00604,             0.00604
                  12,            0.034746,            0.029066,           0.0034236,             0.85873,             0.66051,             0.69474,             0.50292,            0.025249,            0.015688,           0.0021815,            0.005644,            0.005644,            0.005644
                  13,            0.033993,            0.029181,           0.0031611,             0.87099,             0.66099,             0.69833,             0.50669,            0.025051,            0.015513,           0.0021479,            0.005248,            0.005248,            0.005248
                  14,            0.033404,            0.028482,            0.003128,             0.86652,             0.66415,             0.70042,              0.5108,            0.024738,            0.015461,           0.0020397,            0.004852,            0.004852,            0.004852
                  15,            0.032577,            0.027331,           0.0027778,             0.87072,             0.66122,              0.7027,             0.51707,            0.024456,            0.015377,           0.0020156,            0.004456,            0.004456,            0.004456
                  16,            0.032347,            0.028004,           0.0027269,             0.86292,              0.6748,             0.70469,             0.51669,            0.024209,            0.015263,           0.0019614,             0.00406,             0.00406,             0.00406
                  17,            0.031619,            0.027753,           0.0024955,             0.86568,             0.67938,             0.71095,             0.52644,             0.02402,            0.015255,           0.0017983,            0.003664,            0.003664,            0.003664
                  18,            0.030979,            0.026554,           0.0023747,             0.87557,             0.67537,             0.70733,             0.52902,             0.02384,            0.015166,           0.0017797,            0.003268,            0.003268,            0.003268
                  19,            0.030587,            0.026307,           0.0021812,              0.8712,              0.6801,             0.71044,             0.53247,            0.023691,            0.015114,           0.0017604,            0.002872,            0.002872,            0.002872
                  20,            0.029828,            0.025631,           0.0020318,             0.88426,             0.67715,              0.7137,              0.5381,            0.023577,            0.015039,           0.0017049,            0.002476,            0.002476,            0.002476
                  21,            0.029464,            0.025084,           0.0019854,             0.87899,             0.67767,             0.71325,             0.54053,            0.023463,            0.015054,           0.0017662,             0.00208,             0.00208,             0.00208
                  22,             0.02902,            0.025509,           0.0018729,             0.87311,             0.68394,             0.71557,             0.54345,            0.023356,            0.014962,           0.0017833,            0.001684,            0.001684,            0.001684
                  23,            0.028423,            0.024986,           0.0016993,             0.87635,             0.68087,             0.71471,             0.54487,            0.023269,            0.014958,           0.0017362,            0.001288,            0.001288,            0.001288
                  24,            0.027893,            0.024329,           0.0016718,             0.87327,             0.68529,             0.71743,             0.54856,            0.023163,            0.014973,           0.0017543,            0.000892,            0.000892,            0.000892
